,entity_id,trip_update_trip_trip_id,trip_update_trip_start_time,trip_update_trip_start_date,trip_update_trip_route_id,trip_update_trip_direction_id,trip_update_vehicle_id,trip_update_vehicle_label,trip_update_trip_schedule_relationship,feed_message
281,61849530,61849530,14:40:00,20240606,77,1,y1971,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
282,61869348,61869348,15:00:00,20240606,94,1,y0867,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
283,61393413,61393413,13:47:00,20240606,18,0,y1921,1921,,trip_updates (2024-06-06 18:11:20.441111+00:00)
284,61929153,61929153,14:10:00,20240606,225,1,y0802,0802,,trip_updates (2024-06-06 18:11:20.441111+00:00)
285,62145732,62145732,14:30:00,20240606,33,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
286,62248837,62248837,14:36:00,20240606,Blue,1,B-547CB6B4,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
287,61940992,61940992,14:15:00,20240606,712,1,y3002,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
288,61871411,61871411,13:20:00,20240606,112,0,y2090,2090,,trip_updates (2024-06-06 18:11:20.441111+00:00)
289,62146138,62146138,14:15:00,20240606,32,0,y1630,1630,,trip_updates (2024-06-06 18:11:20.441111+00:00)
290,CR-670275-817,CR-670275-817,13:20:00,20240606,CR-Providence,0,1829,1829,,trip_updates (2024-06-06 18:11:20.441111+00:00)
291,61805185,61805185,14:01:00,20240606,Green-B,1,G-10009,3867-3717,,trip_updates (2024-06-06 18:11:20.441111+00:00)
292,62145577,62145577,13:51:00,20240606,31,0,y1647,1647,,trip_updates (2024-06-06 18:11:20.441111+00:00)
293,61392415,61392415,14:54:00,20240606,15,1,y1916,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
294,61869149,61869149,14:00:00,20240606,430,1,y0844,0844,,trip_updates (2024-06-06 18:11:20.441111+00:00)
295,61849359,61849359,14:27:00,20240606,77,1,y3133,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
296,61848394,61848394,14:15:00,20240606,73,1,y2037,2037,,trip_updates (2024-06-06 18:11:20.441111+00:00)
297,62145020,62145020,14:54:00,20240606,51,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
298,62144709,62144709,14:38:00,20240606,42,1,y1708,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
299,ADDED-1581935268,ADDED-1581935268,14:10:00,20240606,Orange,0,O-547CB696,1428,ADDED,trip_updates (2024-06-06 18:11:20.441111+00:00)
300,62144597,62144597,14:52:00,20240606,29,1,y1605,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
301,61928970,61928970,13:41:00,20240606,220,1,y0825,0825,,trip_updates (2024-06-06 18:11:20.441111+00:00)
302,62216215,62216215,14:30:00,20240606,117,1,y3339,3339,,trip_updates (2024-06-06 18:11:20.441111+00:00)
303,62145435,62145435,14:31:00,20240606,21,0,y1673,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
304,ADDED-1581935272,ADDED-1581935272,13:52:05,20240606,Green-D,0,G-10243,3604,ADDED,trip_updates (2024-06-06 18:11:20.441111+00:00)
