id,vehicle_trip_trip_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_trip_schedule_relationship,vehicle_trip_route_id,vehicle_trip_direction_id,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_current_stop_sequence,vehicle_current_status,vehicle_timestamp,vehicle_stop_id,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_occupancy_status,vehicle_occupancy_percentage,vehicle_multi_carriage_details,vehicle_position_speed
G-10106,61804610,13:03:00,20240530,SCHEDULED,Green-E,1.0,42.34582,-71.08114,45.0,570.0,INCOMING_AT,1717090411,70154,G-10106,3631-3889,,,"[{'label': '3631', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3889', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",
y0833,61929436,12:52:00,20240530,SCHEDULED,240,1.0,42.277294,-71.06649,14.0,58.0,STOPPED_AT,1717090479,594,y0833,0833,MANY_SEATS_AVAILABLE,20.0,,
1800,CR-670143-517,11:45:00,20240530,SCHEDULED,CR-Worcester,0.0,42.26228,-71.78964,,170.0,IN_TRANSIT_TO,1717090448,WML-0442-CS,1800,1800,,,,
G-10153,ADDED-1581923779,13:32:20,20240530,ADDED,Green-D,0.0,42.37467,-71.08149,145.0,9.0,INCOMING_AT,1717090466,70502,G-10153,3887-3688,,,"[{'label': '3887', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3688', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",4.9
y1790,61391747,13:34:00,20240530,SCHEDULED,66,0.0,42.329002,-71.083916,0.0,1.0,STOPPED_AT,1717090469,64000,y1790,1790,MANY_SEATS_AVAILABLE,20.0,,
y1890,61391075,13:32:00,20240530,SCHEDULED,22,1.0,42.290157,-71.07093,0.0,4.0,STOPPED_AT,1717090472,371,y1890,1890,MANY_SEATS_AVAILABLE,20.0,,
y1796,61392587,13:41:00,20240530,SCHEDULED,22,0.0,42.33741,-71.08875,45.0,1.0,STOPPED_AT,1717090451,17862,y1796,1796,MANY_SEATS_AVAILABLE,0.0,,
1844,CR-670222-718,13:13:00,20240530,SCHEDULED,CR-Franklin,1.0,42.13994,-71.27281,67.0,30.0,IN_TRANSIT_TO,1717090455,FB-0191-S,1844,1844,,,,23.2
1801,CR-676457-212,12:55:00,20240530,SCHEDULED,CR-Haverhill,1.0,42.491657,-71.13343,184.0,60.0,IN_TRANSIT_TO,1717090459,BNT-0000,1801,1801,,,,28.6
G-10314,61804918,12:50:00,20240530,SCHEDULED,Green-D,1.0,42.35986,-71.05891,35.0,620.0,INCOMING_AT,1717090397,70203,G-10314,3860-3674,,,"[{'label': '3860', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3674', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",
y3207,61394429,13:40:00,20240530,SCHEDULED,19,0.0,42.32928,-71.0825,189.0,1.0,STOPPED_AT,1717090477,407,y3207,3207,,,,
y1899,61393232,13:45:00,20240530,SCHEDULED,8,0.0,42.34895,-71.09606,0.0,1.0,STOPPED_AT,1717090465,899,y1899,1899,MANY_SEATS_AVAILABLE,20.0,,
y1667,62144846,13:30:00,20240530,SCHEDULED,36,1.0,42.27313,-71.17063,41.0,4.0,STOPPED_AT,1717090476,775,y1667,1667,MANY_SEATS_AVAILABLE,20.0,,
y1864,61391731,12:40:00,20240530,SCHEDULED,66,0.0,42.374084,-71.118866,21.0,32.0,IN_TRANSIT_TO,1717090475,2168,y1864,1864,MANY_SEATS_AVAILABLE,20.0,,
y1769,61392577,13:10:00,20240530,SCHEDULED,23,0.0,42.313503,-71.083725,0.0,13.0,STOPPED_AT,1717090473,410,y1769,1769,FEW_SEATS_AVAILABLE,40.0,,
y1331,61946547,13:25:00,20240530,SCHEDULED,741,0.0,42.34814,-71.0422,0.0,3.0,STOPPED_AT,1717090477,74613,y1331,1331,MANY_SEATS_AVAILABLE,40.0,,
y1310,61946709,13:33:00,20240530,SCHEDULED,743,0.0,42.35293,-71.05497,0.0,1.0,STOPPED_AT,1717090475,74611,y1310,1310,MANY_SEATS_AVAILABLE,0.0,,
G-10091,61804468,13:12:00,20240530,SCHEDULED,Green-C,0.0,42.34325,-71.11718,225.0,360.0,INCOMING_AT,1717090466,70219,G-10091,3821-3645,,,"[{'label': '3821', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3645', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",
y1300,61946702,12:59:00,20240530,SCHEDULED,743,0.0,42.387573,-71.023506,0.0,6.0,IN_TRANSIT_TO,1717090467,74637,y1300,1300,MANY_SEATS_AVAILABLE,20.0,,
G-10276,61805204,13:24:00,20240530,SCHEDULED,Green-B,1.0,42.3482,-71.1405,0.0,60.0,STOPPED_AT,1717090460,70124,G-10276,3826-3678,,,"[{'label': '3826', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3678', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",7.4
y1783,61391547,13:20:00,20240530,SCHEDULED,11,1.0,42.334164,-71.04887,319.0,19.0,STOPPED_AT,1717090472,30287,y1783,1783,MANY_SEATS_AVAILABLE,20.0,,
y1868,61392312,13:40:00,20240530,SCHEDULED,19,0.0,42.342785,-71.0616,291.0,1.0,STOPPED_AT,1717090476,407,y1868,1868,MANY_SEATS_AVAILABLE,0.0,,
y1415,61869058,13:00:00,20240530,SCHEDULED,137,1.0,42.433014,-71.067924,185.0,43.0,IN_TRANSIT_TO,1717090475,9212,y1415,1415,MANY_SEATS_AVAILABLE,20.0,,
y1848,61391902,13:20:00,20240530,SCHEDULED,16,1.0,42.30566,-71.07996,57.0,9.0,STOPPED_AT,1717090475,2925,y1848,1848,MANY_SEATS_AVAILABLE,40.0,,
G-10062,61805335,13:08:00,20240530,SCHEDULED,Green-B,1.0,42.35176,-71.12134,135.0,120.0,INCOMING_AT,1717090477,170136,G-10062,3687-3880,,,"[{'label': '3687', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3880', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",
y1699,62146197,13:12:00,20240530,SCHEDULED,34,0.0,42.255157,-71.169975,69.0,28.0,IN_TRANSIT_TO,1717090477,10833,y1699,1699,MANY_SEATS_AVAILABLE,0.0,,
y1301,61946061,13:28:00,20240530,SCHEDULED,742,1.0,42.34455,-71.03464,90.0,4.0,STOPPED_AT,1717090458,31255,y1301,1301,MANY_SEATS_AVAILABLE,0.0,,
O-547C9405,ADDED-1581923753,13:31:00,20240530,ADDED,Orange,1.0,42.43489,-71.07123,5.0,190.0,IN_TRANSIT_TO,1717090464,70036,O-547C9405,1406,,,"[{'label': '1406', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5, 'carriage_sequence': 1}, {'label': '1407', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5, 'carriage_sequence': 2}, {'label': '1436', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 6, 'carriage_sequence': 3}, {'label': '1437', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 2, 'carriage_sequence': 4}, {'label': '1429', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 4, 'carriage_sequence': 5}, {'label': '1428', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 7, 'carriage_sequence': 6}]",
y3315,62216738,13:40:00,20240530,SCHEDULED,455,0.0,42.41695,-71.00307,225.0,1.0,STOPPED_AT,1717090449,15795,y3315,3315,MANY_SEATS_AVAILABLE,0.0,,
O-547C9403,ADDED-1581923748,13:37:00,20240530,ADDED,Orange,0.0,42.43772,-71.0708,185.0,1.0,STOPPED_AT,1717089828,Oak Grove-01,O-547C9403,1440,,,"[{'label': '1440', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 8, 'carriage_sequence': 1}, {'label': '1441', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 4, 'carriage_sequence': 2}, {'label': '1434', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 3, 'carriage_sequence': 3}, {'label': '1435', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 0, 'carriage_sequence': 4}, {'label': '1469', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 6, 'carriage_sequence': 5}, {'label': '1468', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 8, 'carriage_sequence': 6}]",
y3348,62216398,13:20:00,20240530,SCHEDULED,429,0.0,42.46394,-70.9749,0.0,18.0,IN_TRANSIT_TO,1717090475,6690,y3348,3348,MANY_SEATS_AVAILABLE,20.0,,
G-10120,61804663,13:25:00,20240530,SCHEDULED,Green-E,1.0,42.32825,-71.11032,45.0,1.0,STOPPED_AT,1717090140,70260,G-10120,3671-3857,,,"[{'label': '3671', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '3857', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}]",2.4
y0896,61869561,13:00:00,20240530,SCHEDULED,134,0.0,42.477276,-71.15089,341.0,48.0,STOPPED_AT,1717090466,9123,y0896,0896,MANY_SEATS_AVAILABLE,20.0,,
y1600,62145669,13:30:00,20240530,SCHEDULED,31,1.0,42.276817,-71.09341,358.0,6.0,IN_TRANSIT_TO,1717090475,1726,y1600,1600,MANY_SEATS_AVAILABLE,20.0,,
y3288,61394303,13:55:00,20240530,SCHEDULED,57,0.0,42.334705,-71.083916,306.0,1.0,STOPPED_AT,1717090477,899,y3288,3288,MANY_SEATS_AVAILABLE,20.0,,
y1847,61391069,13:03:00,20240530,SCHEDULED,22,1.0,42.322758,-71.09845,62.0,25.0,IN_TRANSIT_TO,1717090476,1219,y1847,1847,FEW_SEATS_AVAILABLE,60.0,,
y1947,61849833,13:24:00,20240530,SCHEDULED,70,0.0,42.364464,-71.1152,0.0,8.0,IN_TRANSIT_TO,1717090437,1067,y1947,1947,MANY_SEATS_AVAILABLE,20.0,,
y1881,61392311,13:40:00,20240530,SCHEDULED,22,0.0,42.3319,-71.07896,315.0,1.0,STOPPED_AT,1717090471,407,y1881,1881,MANY_SEATS_AVAILABLE,0.0,,
R-547C7812,61319286,13:21:00,20240530,SCHEDULED,Red,0.0,42.36243,-71.08581,95.0,50.0,STOPPED_AT,1717090477,70071,R-547C7812,1834,,,"[{'label': '1834', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '1835', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}, {'label': '1858', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 3}, {'label': '1859', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 4}, {'label': '1867', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 5}, {'label': '1866', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 6}]",
